"ts_code","symbol","name","area","industry","market","list_date"
"600699.SH","600699","均胜电子","浙江","汽车配件","主板","19931206"
"600702.SH","600702","舍得酒业","四川","白酒","主板","19960524"
"600703.SH","600703","三安光电","湖北","半导体","主板","19960528"
"600704.SH","600704","物产中大","浙江","商贸代理","主板","19960606"
"600705.SH","600705","中航产融","黑龙江","多元金融","主板","19960516"
"600706.SH","600706","曲江文旅","陕西","旅游服务","主板","19960516"
"600707.SH","600707","彩虹股份","陕西","元器件","主板","19960520"
"600708.SH","600708","光明地产","上海","全国地产","主板","19960606"
"600710.SH","600710","苏美达","江苏","工程机械","主板","19960701"
"600711.SH","600711","盛屯矿业","福建","小金属","主板","19960531"
"600712.SH","600712","南宁百货","广西","百货","主板","19960626"
"600713.SH","600713","南京医药","江苏","医药商业","主板","19960701"
"600714.SH","600714","金瑞矿业","青海","化工原料","主板","19960606"
"600715.SH","600715","文投控股","辽宁","影视音像","主板","19960701"
"600716.SH","600716","凤凰股份","江苏","区域地产","主板","19960702"
"600717.SH","600717","天津港","天津","港口","主板","19960614"
"600718.SH","600718","东软集团","辽宁","软件服务","主板","19960618"
"600719.SH","600719","大连热电","辽宁","供气供热","主板","19960716"
"600720.SH","600720","祁连山","甘肃","水泥","主板","19960716"
"600721.SH","600721","*ST百花","新疆","生物制药","主板","19960626"
"600722.SH","600722","金牛化工","河北","化工原料","主板","19960626"
"600723.SH","600723","首商股份","北京","百货","主板","19960716"
"600724.SH","600724","宁波富达","浙江","水泥","主板","19960716"
"600725.SH","600725","云维股份","云南","焦炭加工","主板","19960702"
"600726.SH","600726","华电能源","黑龙江","火力发电","主板","19960701"
"600727.SH","600727","鲁北化工","山东","化工原料","主板","19960702"
"600728.SH","600728","佳都科技","广东","软件服务","主板","19960716"
"600729.SH","600729","重庆百货","重庆","百货","主板","19960702"
"600730.SH","600730","中国高科","北京","综合类","主板","19960726"
"600731.SH","600731","湖南海利","湖南","农药化肥","主板","19960802"
"600732.SH","600732","爱旭股份","上海","电气设备","主板","19960816"
"600733.SH","600733","北汽蓝谷","北京","汽车整车","主板","19960816"
"600734.SH","600734","*ST实达","福建","IT设备","主板","19960808"
"600735.SH","600735","新华锦","山东","商贸代理","主板","19960726"
"600736.SH","600736","苏州高新","江苏","园区开发","主板","19960815"
"600737.SH","600737","中粮糖业","新疆","食品","主板","19960731"
"600738.SH","600738","丽尚国潮","甘肃","百货","主板","19960802"
"600739.SH","600739","辽宁成大","辽宁","商贸代理","主板","19960819"
"600740.SH","600740","山西焦化","山西","焦炭加工","主板","19960808"
"600741.SH","600741","华域汽车","上海","汽车配件","主板","19960826"
"600742.SH","600742","一汽富维","吉林","汽车配件","主板","19960826"
"600743.SH","600743","华远地产","北京","区域地产","主板","19960909"
"600744.SH","600744","华银电力","湖南","火力发电","主板","19960905"
"600745.SH","600745","闻泰科技","湖北","通信设备","主板","19960828"
"600746.SH","600746","江苏索普","江苏","化工原料","主板","19960918"
"600748.SH","600748","上实发展","上海","全国地产","主板","19960925"
"600749.SH","600749","西藏旅游","西藏","旅游景点","主板","19961015"
"600750.SH","600750","江中药业","江西","中成药","主板","19960923"
"600751.SH","600751","海航科技","天津","软件服务","主板","19960909"
"600753.SH","600753","东方银星","福建","商贸代理","主板","19960927"
"600754.SH","600754","锦江酒店","上海","酒店餐饮","主板","19961011"
"600755.SH","600755","厦门国贸","福建","商贸代理","主板","19961003"
"600756.SH","600756","浪潮软件","山东","软件服务","主板","19960923"
"600757.SH","600757","长江传媒","湖北","出版业","主板","19961003"
"600758.SH","600758","辽宁能源","辽宁","煤炭开采","主板","19961029"
"600759.SH","600759","洲际油气","海南","石油开采","主板","19961008"
"600760.SH","600760","中航沈飞","山东","航空","主板","19961011"
"600761.SH","600761","安徽合力","安徽","工程机械","主板","19961009"
"600763.SH","600763","通策医疗","浙江","医疗保健","主板","19961030"
"600764.SH","600764","中国海防","北京","通信设备","主板","19961104"
"600765.SH","600765","中航重机","贵州","航空","主板","19961106"
"600766.SH","600766","*ST园城","山东","黄金","主板","19961028"
"600767.SH","600767","运盛医疗","四川","医疗保健","主板","19961115"
"600768.SH","600768","宁波富邦","浙江","铝","主板","19961111"
"600769.SH","600769","祥龙电业","湖北","建筑工程","主板","19961101"
"600770.SH","600770","综艺股份","江苏","综合类","主板","19961120"
"600771.SH","600771","广誉远","山西","中成药","主板","19961105"
"600773.SH","600773","西藏城投","西藏","区域地产","主板","19961108"
"600774.SH","600774","汉商集团","湖北","百货","主板","19961108"
"600775.SH","600775","南京熊猫","江苏","通信设备","主板","19961118"
"600776.SH","600776","东方通信","浙江","通信设备","主板","19961126"
"600777.SH","600777","新潮能源","山东","石油开采","主板","19961121"
"600778.SH","600778","友好集团","新疆","百货","主板","19961203"
"600779.SH","600779","水井坊","四川","白酒","主板","19961206"
"600780.SH","600780","通宝能源","山西","火力发电","主板","19961205"
"600781.SH","600781","ST辅仁","河南","中成药","主板","19961218"
"600782.SH","600782","新钢股份","江西","普钢","主板","19961225"
"600783.SH","600783","鲁信创投","山东","多元金融","主板","19961225"
"600784.SH","600784","鲁银投资","山东","综合类","主板","19961225"
"600785.SH","600785","新华百货","宁夏","百货","主板","19970108"
"600787.SH","600787","中储股份","天津","仓储物流","主板","19970121"
"600789.SH","600789","鲁抗医药","山东","化学制药","主板","19970226"
"600790.SH","600790","轻纺城","浙江","商品城","主板","19970228"
"600791.SH","600791","京能置业","北京","全国地产","主板","19970130"
"600792.SH","600792","云煤能源","云南","焦炭加工","主板","19970123"
